Optimal path [nodeId(time to the node):
36(0) -> 32(121) -> 23(140) -> 2(136) -> 40(141) -> 9(119) -> 44(133) -> 8(131) -> 7(128) -> 10(124) -> 13(144) -> 46(139) -> 42(135) -> 26(111) -> 38(124) -> 39(135) -> 3(145) -> 5(131) -> 29(141) -> 24(128) -> 18(156) -> 25(118) -> 48(133) -> 12(124) -> 11(125) -> 47(141) -> 43(140) -> 22(140) -> 33(126) -> 14(130) -> 1(129) -> 21(137) -> 0(126) -> 20(128) -> 45(121) -> 19(113) -> 30(142) -> 35(135) -> 49(128) -> 34(132) -> 4(126) -> 16(126) -> 15(130) -> 6(134) -> 17(122) -> 41(125) -> 27(118) -> 31(110) -> 28(130) -> 37(146)
Total time of delivery: 6397
The cost function value: 6397

Statistics at the end of simulation: 
Residents: 2653253
Illness cases: 2338495 --> [88.13690213485107%]
Healthy residents: 314758 --> [11.863097865148932%]
Vaccinated residents314758 --> [11.863097865148932%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
5260 2653253 2338495 314758 314758
5270 2653253 2338495 314758 314758
5280 2653253 2338495 314758 314758
5290 2653253 2338495 314758 314758
5300 2653253 2338495 314758 314758
5310 2653253 2338495 314758 314758
5320 2653253 2338495 314758 314758
5330 2653253 2338495 314758 314758
5340 2653253 2338495 314758 314758
5350 2653253 2338495 314758 314758
5360 2653253 2338495 314758 314758
5370 2653253 2338495 314758 314758
5380 2653253 2338495 314758 314758
5390 2653253 2338495 314758 314758
5400 2653253 2338495 314758 314758
5410 2653253 2338495 314758 314758
5420 2653253 2338495 314758 314758
5430 2653253 2338495 314758 314758
5440 2653253 2338495 314758 314758
5450 2653253 2338495 314758 314758
5460 2653253 2338495 314758 314758
5470 2653253 2338495 314758 314758
5480 2653253 2338495 314758 314758
5490 2653253 2338495 314758 314758
5500 2653253 2338495 314758 314758
5510 2653253 2338495 314758 314758
5520 2653253 2338495 314758 314758
5530 2653253 2338495 314758 314758
5540 2653253 2338495 314758 314758
5550 2653253 2338495 314758 314758
5560 2653253 2338495 314758 314758
5570 2653253 2338495 314758 314758
5580 2653253 2338495 314758 314758
5590 2653253 2338495 314758 314758
5600 2653253 2338495 314758 314758
5610 2653253 2338495 314758 314758
5620 2653253 2338495 314758 314758
5630 2653253 2338495 314758 314758
5640 2653253 2338495 314758 314758
5650 2653253 2338495 314758 314758
5660 2653253 2338495 314758 314758
5670 2653253 2338495 314758 314758
5680 2653253 2338495 314758 314758
5690 2653253 2338495 314758 314758
5700 2653253 2338495 314758 314758
5710 2653253 2338495 314758 314758
5720 2653253 2338495 314758 314758
5730 2653253 2338495 314758 314758
5740 2653253 2338495 314758 314758
5750 2653253 2338495 314758 314758
5760 2653253 2338495 314758 314758
5770 2653253 2338495 314758 314758
5780 2653253 2338495 314758 314758
5790 2653253 2338495 314758 314758
5800 2653253 2338495 314758 314758
5810 2653253 2338495 314758 314758
5820 2653253 2338495 314758 314758
5830 2653253 2338495 314758 314758
5840 2653253 2338495 314758 314758
5850 2653253 2338495 314758 314758
5860 2653253 2338495 314758 314758
5870 2653253 2338495 314758 314758
5880 2653253 2338495 314758 314758
5890 2653253 2338495 314758 314758
5900 2653253 2338495 314758 314758
5910 2653253 2338495 314758 314758
5920 2653253 2338495 314758 314758
5930 2653253 2338495 314758 314758
5940 2653253 2338495 314758 314758
5950 2653253 2338495 314758 314758
5960 2653253 2338495 314758 314758
5970 2653253 2338495 314758 314758
5980 2653253 2338495 314758 314758
5990 2653253 2338495 314758 314758
6000 2653253 2338495 314758 314758
6010 2653253 2338495 314758 314758
6020 2653253 2338495 314758 314758
6030 2653253 2338495 314758 314758
6040 2653253 2338495 314758 314758
6050 2653253 2338495 314758 314758
6060 2653253 2338495 314758 314758
6070 2653253 2338495 314758 314758
6080 2653253 2338495 314758 314758
6090 2653253 2338495 314758 314758
